index,occupied_normal_beds,occupied_intensive_care_beds
2020-06-05,0,0
2020-06-06,0,0
2020-06-07,0,0
2020-06-08,0,0
2020-06-09,0,0
2020-06-10,0,0
2020-06-11,0,0
2020-06-12,0,0
2020-06-13,0,0
2020-06-14,0,0
2020-06-15,0,0
2020-06-16,0,0
2020-06-17,0,0
2020-06-18,0,0
2020-06-19,0,0
2020-06-20,0,0
2020-06-21,0,0
2020-06-22,0,0
2020-06-23,0,0
2020-06-24,0,0
2020-06-25,0,0
2020-06-26,0,0
2020-06-27,0,0
2020-06-28,0,0
2020-06-29,0,0
2020-06-30,0,0
2020-07-01,0,0
2020-07-02,0,0
2020-07-03,0,0
2020-07-04,0,0
2020-07-05,0,0
2020-07-06,0,0
2020-07-07,0,0
2020-07-08,0,0
2020-07-09,0,0
2020-07-10,0,0
2020-07-11,0,0
2020-07-12,0,0
2020-07-13,0,0
2020-07-14,0,0
2020-07-15,0,0
2020-07-16,0,0
2020-07-17,0,0
2020-07-18,0,0
2020-07-19,0,0
2020-07-20,0,0
2020-07-21,0,0
2020-07-22,0,0
2020-07-23,0,0
2020-07-24,0,0
2020-07-25,0,0
2020-07-26,0,0
2020-07-27,0,0
2020-07-28,0,0
2020-07-29,0,0
2020-07-30,0,0
2020-07-31,0,0
2020-08-01,0,0
2020-08-02,0,0
2020-08-03,0,0
2020-08-04,0,0
2020-08-05,0,0
2020-08-06,0,0
2020-08-07,0,0
2020-08-08,0,0
2020-08-09,0,0
2020-08-10,0,0
2020-08-11,0,0
2020-08-12,0,0
2020-08-13,0,0
2020-08-14,0,0
2020-08-15,0,0
2020-08-16,0,0
2020-08-17,0,0
2020-08-18,0,0
2020-08-19,0,0
2020-08-20,0,0
2020-08-21,0,0
2020-08-22,0,0
2020-08-23,0,0
2020-08-24,0,0
2020-08-25,0,0
2020-08-26,0,0
2020-08-27,0,0
2020-08-28,0,0
2020-08-29,0,0
2020-08-30,0,0
2020-08-31,0,0
2020-09-01,0,0
2020-09-02,0,0
2020-09-03,0,0
2020-09-04,0,0
2020-09-05,0,0
2020-09-06,0,0
2020-09-07,0,0
2020-09-08,0,0
2020-09-09,0,0
2020-09-10,0,0
2020-09-11,0,0
2020-09-12,0,0
2020-09-13,0,0
2020-09-14,0,0
2020-09-15,0,0
2020-09-16,0,0
2020-09-17,0,0
2020-09-18,0,0
2020-09-19,0,0
2020-09-20,0,0
2020-09-21,0,0
2020-09-22,0,0
2020-09-23,0,0
2020-09-24,0,0
2020-09-25,0,0
2020-09-26,0,0
2020-09-27,0,0
2020-09-28,0,0
2020-09-29,0,0
2020-09-30,0,0
2020-10-01,0,0
2020-10-02,0,0
2020-10-03,0,0
2020-10-04,0,0
2020-10-05,0,0
2020-10-06,0,0
2020-10-07,0,0
2020-10-08,0,0
2020-10-09,0,0
2020-10-10,0,0
2020-10-11,0,0
2020-10-12,0,0
2020-10-13,0,0
2020-10-14,0,0
2020-10-15,0,0
2020-10-16,0,0
2020-10-17,0,0
2020-10-18,0,0
2020-10-19,0,0
2020-10-20,0,0
2020-10-21,0,0
2020-10-22,0,0
2020-10-23,0,0
2020-10-24,0,0
2020-10-25,0,0
2020-10-26,0,0
2020-10-27,0,0
2020-10-28,0,0
2020-10-29,0,0
2020-10-30,0,0
2020-10-31,0,0
2020-11-01,0,0
2020-11-02,0,0
2020-11-03,0,0
2020-11-04,0,0
2020-11-05,0,0
2020-11-06,0,0
2020-11-07,0,0
2020-11-08,0,0
2020-11-09,0,0
2020-11-10,0,0
2020-11-11,0,0
2020-11-12,0,0
2020-11-13,0,0
2020-11-14,0,0
2020-11-15,0,0
2020-11-16,0,0
2020-11-17,0,0
2020-11-18,0,0
2020-11-19,0,0
2020-11-20,0,0
2020-11-21,0,0
2020-11-22,0,0
2020-11-23,0,0
2020-11-24,0,0
2020-11-25,0,0
2020-11-26,0,0
2020-11-27,0,0
2020-11-28,0,0
2020-11-29,0,0
2020-11-30,0,0
2020-12-01,0,0
2020-12-02,0,0
2020-12-03,0,0
2020-12-04,0,0
2020-12-05,0,0
2020-12-06,0,0
2020-12-07,0,0
2020-12-08,0,0
2020-12-09,0,0
2020-12-10,0,0
2020-12-11,0,0
2020-12-12,0,0
2020-12-13,0,0
2020-12-14,0,0
2020-12-15,0,0
2020-12-16,0,0
2020-12-17,0,0
2020-12-18,0,0
2020-12-19,0,0
2020-12-20,0,0
2020-12-21,0,0
2020-12-22,0,0
2020-12-23,0,0
2020-12-24,0,0
2020-12-25,0,0
2020-12-26,0,0
2020-12-27,0,0
2020-12-28,0,0
2020-12-29,0,0
2020-12-30,0,0
2020-12-31,0,0
2021-01-01,0,0
2021-01-02,1433,294
2021-01-03,1073,296
2021-01-04,1765,534
2021-01-05,1081,482
2021-01-06,268,147
2021-01-07,112,53
2021-01-08,96,30
2021-01-09,401,141
2021-01-10,628,220
2021-01-11,1260,308
2021-01-12,2651,651
2021-01-13,0,0
2021-01-14,0,0
2021-01-15,0,0
2021-01-16,0,0
2021-01-17,0,0
2021-01-18,0,0
2021-01-19,0,0
2021-01-20,0,0
2021-01-21,0,0
2021-01-22,0,0
2021-01-23,0,0
2021-01-24,1518,323
2021-01-25,1548,321
2021-01-26,1583,313
2021-01-27,1526,304
2021-01-28,1478,304
2021-01-29,1428,295
2021-01-30,1385,297
2021-01-31,1387,297
2021-01-02,1433,294
2021-02-02,1429,300
2021-03-02,1383,303
2021-04-02,1342,298
2021-05-02,1304,300
2021-06-02,1289,300
2021-07-02,1275,285
2021-08-02,1299,281
2021-09-02,1318,279
2021-10-02,1262,265
2021-11-02,1212,265
2021-12-02,1151,263
2021-02-13,1062,267
2021-02-14,1056,255
2021-02-15,1104,258
2021-02-16,1089,264
2021-02-17,1069,262
2021-02-18,1027,264
2021-02-19,1030,261
2021-02-20,999,261
2021-02-21,1018,254
2021-02-22,1085,252
2021-02-23,1077,273
2021-02-24,1064,255
2021-02-25,1041,248
2021-02-26,1018,260
2021-02-27,988,260
2021-02-28,1022,283
2021-01-03,1073,296
2021-02-03,1124,301
2021-03-03,1097,313
2021-04-03,1142,302
2021-05-03,1114,325
2021-06-03,1138,316
2021-07-03,1155,317
2021-08-03,1226,333
2021-09-03,1287,329
2021-10-03,1273,324
2021-11-03,1242,342
2021-12-03,1269,346
2021-03-13,1285,356
2021-03-14,1322,352
2021-03-15,1406,373
2021-03-16,1438,395
2021-03-17,1449,396
2021-03-18,1451,388
2021-03-19,1462,400
2021-03-20,1438,393
2021-03-21,1495,416
2021-03-22,1573,436
2021-03-23,1614,438
2021-03-24,1635,450
2021-03-25,1641,455
2021-03-26,1693,471
2021-03-27,1651,508
2021-03-28,1636,518
2021-03-29,1710,537
2021-03-30,1770,538
2021-03-31,1787,531
2021-01-04,1765,534
2021-02-04,1753,537
2021-03-04,1655,533
2021-04-04,1671,562
2021-05-04,1771,570
2021-06-04,1854,583
2021-07-04,1877,583
2021-08-04,1807,579
2021-09-04,1802,582
2021-10-04,1734,584
2021-11-04,1705,599
2021-12-04,1799,615
2021-04-13,1752,596
2021-04-14,1687,589
2021-04-15,1586,571
2021-04-16,1550,560
2021-04-17,1507,549
2021-04-18,1475,546
2021-04-19,1554,568
2021-04-20,1531,561
2021-04-21,1417,551
2021-04-22,1403,521
2021-04-23,1356,518
2021-04-24,1309,508
2021-04-25,1279,521
2021-04-26,1333,520
2021-04-27,1392,521
2021-04-28,1270,519
2021-04-29,1233,489
2021-04-30,1154,506
2021-01-05,1081,482
2021-02-05,1087,476
2021-03-05,1139,485
2021-04-05,1155,463
2021-05-05,1107,440
2021-06-05,1017,431
2021-07-05,959,422
2021-08-05,886,406
2021-09-05,865,409
2021-10-05,863,385
2021-11-05,857,358
2021-12-05,797,337
2021-05-13,695,316
2021-05-14,686,322
2021-05-15,628,315
2021-05-16,612,285
2021-05-17,624,290
2021-05-18,600,278
2021-05-19,563,266
2021-05-20,518,249
2021-05-21,463,234
2021-05-22,406,237
2021-05-23,386,237
2021-05-24,368,224
2021-05-25,383,220
2021-05-26,349,198
2021-05-27,318,192
2021-05-28,285,171
2021-05-29,273,163
2021-05-30,264,149
2021-05-31,258,152
2021-01-06,268,147
2021-02-06,266,136
2021-03-06,245,128
2021-04-06,247,115
2021-05-06,288,150
2021-06-06,284,144
2021-07-06,280,146
2021-08-06,275,127
2021-09-06,248,122
2021-10-06,244,113
2021-11-06,229,97
2021-12-06,217,99
2021-06-13,219,99
2021-06-14,208,98
2021-06-15,205,94
2021-06-16,188,92
2021-06-17,185,86
2021-06-18,175,84
2021-06-19,164,83
2021-06-20,164,84
2021-06-21,164,80
2021-06-22,169,73
2021-06-23,157,70
2021-06-24,146,71
2021-06-25,127,68
2021-06-26,128,73
2021-06-27,122,63
2021-06-28,118,61
2021-06-29,129,56
2021-06-30,112,60
2021-01-07,112,53
2021-02-07,101,49
2021-03-07,97,46
2021-04-07,89,46
2021-05-07,83,45
2021-06-07,78,46
2021-07-07,72,46
2021-08-07,69,42
2021-09-07,67,42
2021-10-07,61,42
2021-11-07,62,37
2021-12-07,67,35
2021-07-13,75,37
2021-07-14,78,32
2021-07-15,77,35
2021-07-16,71,37
2021-07-17,80,35
2021-07-18,77,31
2021-07-19,80,33
2021-07-20,82,40
2021-07-21,81,30
2021-07-22,78,26
2021-07-23,74,26
2021-07-24,80,27
2021-07-25,78,26
2021-07-26,85,32
2021-07-27,80,41
2021-07-28,75,38
2021-07-29,83,40
2021-07-30,81,37
2021-07-31,90,33
2021-01-08,96,30
2021-02-08,99,31
2021-03-08,102,35
2021-04-08,96,31
2021-05-08,95,38
2021-06-08,112,34
2021-07-08,110,41
2021-08-08,119,44
2021-09-08,134,40
2021-10-08,146,46
2021-11-08,146,48
2021-12-08,150,49
2021-08-13,158,49
2021-08-14,167,53
2021-08-15,182,58
2021-08-16,193,64
2021-08-17,214,60
2021-08-18,226,62
2021-08-19,219,68
2021-08-20,246,69
2021-08-21,260,71
2021-08-22,278,73
2021-08-23,306,74
2021-08-24,317,86
2021-08-25,332,88
2021-08-26,315,94
2021-08-27,316,105
2021-08-28,315,110
2021-08-29,343,113
2021-08-30,355,124
2021-08-31,393,133
2021-01-09,401,141
2021-02-09,396,143
2021-03-09,396,153
2021-04-09,395,154
2021-05-09,395,157
2021-06-09,413,171
2021-07-09,456,172
2021-08-09,468,188
2021-09-09,471,186
2021-10-09,497,181
2021-11-09,512,173
2021-12-09,528,182
2021-09-13,570,189
2021-09-14,604,201
2021-09-15,618,196
2021-09-16,621,202
2021-09-17,644,207
2021-09-18,652,213
2021-09-19,644,217
2021-09-20,664,220
2021-09-21,664,216
2021-09-22,643,218
2021-09-23,636,219
2021-09-24,642,225
2021-09-25,623,225
2021-09-26,636,225
2021-09-27,648,245
2021-09-28,648,239
2021-09-29,648,222
2021-09-30,630,222
2021-01-10,628,220
2021-02-10,611,221
2021-03-10,599,223
2021-04-10,619,222
2021-05-10,631,233
2021-06-10,634,221
2021-07-10,624,221
2021-08-10,624,221
2021-09-10,603,218
2021-10-10,601,221
2021-11-10,637,212
2021-12-10,662,218
2021-10-13,649,218
2021-10-14,656,217
2021-10-15,659,219
2021-10-16,658,218
2021-10-17,653,220
2021-10-18,697,220
2021-10-19,730,217
2021-10-20,745,218
2021-10-21,767,220
2021-10-22,795,220
2021-10-23,809,229
2021-10-24,832,226
2021-10-25,903,240
2021-10-26,941,253
2021-10-27,1007,256
2021-10-28,1044,264
2021-10-29,1101,279
2021-10-30,1121,283
2021-10-31,1181,293
2021-01-11,1260,308
2021-02-11,1372,329
2021-03-11,1436,344
2021-04-11,1475,362
2021-05-11,1483,366
2021-06-11,1520,354
2021-07-11,1570,367
2021-08-11,1664,382
2021-09-11,1768,408
2021-10-11,1808,420
2021-11-11,1851,437
2021-12-11,1896,428
2021-11-13,1877,417
2021-11-14,1919,433
2021-11-15,2069,456
2021-11-16,2118,466
2021-11-17,2258,486
2021-11-18,2329,508
2021-11-19,2364,514
2021-11-20,2347,525
2021-11-21,2425,533
2021-11-22,2561,572
2021-11-23,2570,583
2021-11-24,2639,596
2021-11-25,2658,615
2021-11-26,2658,612
2021-11-27,2606,615
2021-11-28,2624,623
2021-11-29,2767,630
2021-11-30,2769,646
2021-01-12,2651,651
2021-02-12,2547,640
2021-03-12,2530,642
2021-04-12,2424,652
2021-05-12,2402,654
2021-06-12,2465,664
2021-07-12,2377,658
2021-08-12,2236,632
2021-09-12,2169,620
2021-10-12,2049,588
2021-11-12,1883,567
2021-12-12,1866,561
2021-12-13,1872,580
2021-12-14,1776,557
2021-12-15,1655,556
2021-12-16,1516,533
2021-12-17,1440,505
2021-12-18,1294,480
2021-12-19,1283,475
2021-12-20,1273,483
2021-12-21,1183,470
2021-12-22,1084,451
2021-12-23,1010,426
2021-12-24,885,400
2021-12-25,817,394
2021-12-26,819,384
2021-12-27,826,383
2021-12-28,799,361
2021-12-29,779,349
2021-12-30,755,343
2021-12-31,712,328
2022-01-01,672,322
2022-02-01,647,323
2022-03-01,707,321
2022-04-01,708,317
2022-05-01,698,302
2022-06-01,655,289
2022-07-01,641,273
2022-08-01,629,268
2022-09-01,639,264
2022-10-01,693,260
2022-11-01,653,255
2022-12-01,652,241
2022-01-13,640,236
2022-01-14,682,220
2022-01-15,649,216
2022-01-16,679,212
2022-01-17,748,211
2022-01-18,831,194
2022-01-19,854,193
2022-01-20,892,196
2022-01-21,904,198
2022-01-22,916,193
2022-01-23,949,190
2022-01-24,1045,194
2022-01-25,1114,190
2022-01-26,1123,190
2022-01-27,1130,172
2022-01-28,1220,176
2022-01-29,1215,177
2022-01-30,1273,176
2022-01-31,1373,175
2022-01-02,1490,184
2022-02-02,1509,184
2022-03-02,1581,190
2022-04-02,1636,195
2022-05-02,1658,197
2022-06-02,1704,205
2022-07-02,1785,196
2022-08-02,1878,194
2022-09-02,1898,187
2022-10-02,1872,189
2022-11-02,1872,186
2022-12-02,1854,190
2022-02-13,1902,199
2022-02-14,1984,199
2022-02-15,2022,205
2022-02-16,2037,197
2022-02-17,2057,199
2022-02-18,2084,187
2022-02-19,2015,186
2022-02-20,2062,188
2022-02-21,2173,188
2022-02-22,2181,197
2022-02-23,2186,190
2022-02-24,2225,200
2022-02-25,2283,200
2022-02-26,2171,193
2022-02-27,2194,199
2022-02-28,2272,187
2022-01-03,2371,190
2022-02-03,2406,188
2022-03-03,2374,192
2022-04-03,2329,195
2022-05-03,2327,198
2022-06-03,2284,199
2022-07-03,2465,190
2022-08-03,2587,192
2022-09-03,2511,183
2022-10-03,2509,178
2022-11-03,2566,183
2022-12-03,2547,181
2022-03-13,2599,193
2022-03-14,2675,200
2022-03-15,2786,218
2022-03-16,2801,218
2022-03-17,2866,207
2022-03-18,2812,208
2022-03-19,2806,208
2022-03-20,2814,203
2022-03-21,2953,223
2022-03-22,3059,232
2022-03-23,2998,230
2022-03-24,2934,234
2022-03-25,2948,234
2022-03-26,2898,241
2022-03-27,2931,240
2022-03-28,3074,241
2022-03-29,3050,237
2022-03-30,2999,237
2022-03-31,2945,226
2022-01-04,2895,218
2022-02-04,2777,215
2022-03-04,2739,215
2022-04-04,2716,225
2022-05-04,2739,226
2022-06-04,2624,226
2022-07-04,2516,202
2022-08-04,2365,199
2022-09-04,2256,200
2022-10-04,2233,183
2022-11-04,2288,196
2022-12-04,2248,192
2022-04-13,2096,193
2022-04-14,1959,180
2022-04-15,1884,170
2022-04-16,1751,152
2022-04-17,1669,146
2022-04-18,1682,141
2022-04-19,1691,137
2022-04-20,1685,140
2022-04-21,1594,126
2022-04-22,1477,117
2022-04-23,1416,120
2022-04-24,1353,118
2022-04-25,1381,118
2022-04-26,1368,110
2022-04-27,1322,106
2022-04-28,1231,110
2022-04-29,1215,99
2022-04-30,1104,86
2022-01-05,1108,85
2022-02-05,1092,88
2022-03-05,1071,86
2022-04-05,1011,80
2022-05-05,955,81
2022-06-05,937,79
2022-07-05,905,78
2022-08-05,866,81
2022-09-05,849,79
2022-10-05,853,79
2022-11-05,789,79
2022-12-05,747,70
2022-05-13,727,63
2022-05-14,731,62
2022-05-15,718,58
2022-05-16,701,65
2022-05-17,682,58
2022-05-18,647,54
2022-05-19,605,58
2022-05-20,594,55
2022-05-21,580,53
2022-05-22,561,44
2022-05-23,530,52
2022-05-24,539,57
2022-05-25,505,44
2022-05-26,473,42
2022-05-27,452,46
2022-05-28,455,50
2022-05-29,444,45
2022-05-30,445,38
2022-05-31,432,43
2022-01-06,426,43
2022-02-06,416,48
2022-03-06,418,47
2022-04-06,414,43
2022-05-06,405,41
2022-06-06,410,40
2022-07-06,437,42
2022-08-06,440,42
2022-09-06,431,39
2022-10-06,438,35
2022-11-06,444,34
2022-12-06,443,30
2022-06-13,473,36
2022-06-14,488,43
2022-06-15,477,34
2022-06-16,481,31
2022-06-17,487,36
2022-06-18,499,35
2022-06-19,502,38
2022-06-20,551,36
2022-06-21,583,41
2022-06-22,603,50
2022-06-23,619,43
2022-06-24,620,42
2022-06-25,640,48
2022-06-26,655,51
2022-06-27,729,48
2022-06-28,795,47
2022-06-29,809,47
2022-06-30,813,41
2022-01-07,821,49
2022-02-07,835,59
2022-03-07,825,51
2022-04-07,878,51
2022-05-07,926,56
2022-06-07,900,58
2022-07-07,961,63
2022-08-07,930,57
2022-09-07,953,55
2022-10-07,960,50
2022-11-07,1046,57
2022-12-07,1067,56
2022-07-13,1085,66
2022-07-14,1095,71
2022-07-15,1133,78
2022-07-16,1165,75
2022-07-17,1193,71
2022-07-18,1301,76
2022-07-19,1399,90
2022-07-20,1428,76
2022-07-21,1390,80
2022-07-22,1416,80
2022-07-23,1442,80
2022-07-24,1414,87
2022-07-25,1548,88
2022-07-26,1604,93
2022-07-27,1618,101
2022-07-28,1564,98
2022-07-29,1563,91
2022-07-30,1504,90
2022-07-31,1465,87
2022-01-08,1477,82
2022-02-08,1461,86
2022-03-08,1385,79
2022-04-08,1438,83
2022-05-08,1388,73
2022-06-08,1358,74
2022-07-08,1323,72
2022-08-08,1398,81
2022-09-08,1306,77
2022-10-08,1339,81
2022-11-08,1294,76
2022-12-08,1240,82
2022-08-13,1188,68
2022-08-14,1165,70
2022-08-15,1160,64
2022-08-16,1171,63
2022-08-17,1212,69
2022-08-18,1179,66
2022-08-19,1149,64
2022-08-20,1125,67
2022-08-21,1095,69
2022-08-22,1137,72
2022-08-23,1098,72
2022-08-24,1039,74
2022-08-25,1043,78
2022-08-26,1005,80
2022-08-27,1001,74
2022-08-28,986,72
2022-08-29,1025,66
2022-08-30,1063,69
2022-08-31,1011,62
2022-01-09,973,65
2022-02-09,927,69
2022-03-09,914,63
2022-04-09,899,60
2022-05-09,900,63
2022-06-09,885,54
2022-07-09,880,46
2022-08-09,884,43
2022-09-09,867,47
2022-10-09,855,50
2022-11-09,848,48
2022-12-09,871,47
2022-09-13,879,52
2022-09-14,851,54
2022-09-15,868,54
2022-09-16,838,50
2022-09-17,848,54
2022-09-18,826,52
2022-09-19,890,61
2022-09-20,929,64
2022-09-21,947,57
2022-09-22,995,55
2022-09-23,973,61
2022-09-24,975,56
2022-09-25,960,58
2022-09-26,1082,66
2022-09-27,1224,75
2022-09-28,1320,73
2022-09-29,1397,67
2022-09-30,1421,69
2022-01-10,1422,67
2022-02-10,1442,68
2022-03-10,1626,71
2022-04-10,1773,90
2022-05-10,1905,80
2022-06-10,2016,100
2022-07-10,2096,98
2022-08-10,2093,99
2022-09-10,2099,99
2022-10-10,2310,118
2022-11-10,2418,130
2022-12-10,2463,130
2022-10-13,2425,125
2022-10-14,2417,121
2022-10-15,2422,120
2022-10-16,2416,120
2022-10-17,2409,120
2022-10-18,2406,120
2022-10-19,2344,124
2022-10-20,2248,132
2022-10-21,2214,125
2022-10-22,2201,128
2022-10-23,2202,128
2022-10-24,2035,119
2022-10-25,2003,105
2022-10-26,2013,106
2022-10-27,1997,99
2022-10-28,1909,99
2022-10-29,1891,100
2022-10-30,1882,100
2022-10-31,1787,98
2022-01-11,1789,100
2022-02-11,1349,96
2022-03-11,1260,93
2022-04-11,1237,91
2022-05-11,1226,85
2022-06-11,1224,85
2022-07-11,1172,85
2022-08-11,1112,78
2022-09-11,1057,73
2022-10-11,995,64
2022-11-11,967,67
